6.54 0.89 34.76
7.08 1.48 39.32
5.85 1.01 32.93
6.12 1.03 32.68
6.53 1.10 34.54
7.63 1.89 40.33
6.80 1.36 36.36
7.27 1.54 39.30
6.97 1.26 37.37
7.08 1.57 40.77
6.20 1.23 33.03
7.04 1.81 40.28
5.75 1.52 35.23
7.33 1.73 37.59
6.74 1.26 36.69
7.06 1.80 37.31
5.62 1.87 33.14
6.09 1.23 34.95
7.26 1.68 38.74
5.90 0.96 30.03
7.32 1.64 36.21
7.21 1.46 33.30
6.17 1.24 30.32
6.11 0.87 30.54
6.77 1.52 33.68
5.87 1.55 28.60
7.04 1.35 33.41
6.24 1.61 30.04
6.70 1.82 34.20
5.96 1.38 27.63
6.15 1.33 31.11
5.86 1.68 27.81
6.05 1.27 28.90
6.58 1.45 30.96
6.37 2.03 33.20
5.46 2.39 29.41
6.15 2.38 26.42
6.35 3.10 25.67
5.40 3.47 24.02
7.55 3.02 30.92
7.32 2.64 32.59
5.78 3.35 24.31
5.56 2.94 21.98
5.11 3.84 20.92
5.97 2.47 23.40
4.99 3.12 23.05
5.34 3.05 23.59
5.83 2.33 21.83
7.00 2.67 27.72
5.29 2.62 21.22
6.16 2.33 25.38
6.39 2.94 27.01
5.67 3.23 23.34
6.00 1.89 26.10
5.99 3.01 25.05
5.19 3.60 19.42
5.98 2.71 22.98
5.62 2.56 22.93
6.45 2.44 22.71
5.13 2.40 19.89
5.75 3.19 26.40
5.65 3.35 24.30
5.14 3.23 20.94
6.24 2.65 21.51
4.56 3.47 14.97
5.39 3.40 16.23
6.05 2.23 23.04
4.98 2.97 17.58
6.25 2.10 22.59
4.45 3.44 13.67
5.84 2.09 19.99
5.57 2.74 18.31
5.04 2.84 14.08
4.96 2.82 13.59
6.41 2.90 20.04
5.16 3.32 15.41
6.06 2.51 21.19
6.13 2.65 20.67
5.58 2.96 16.17
4.84 3.30 16.91
4.72 3.69 12.48
4.83 4.64 22.24
5.70 3.77 25.14
5.74 2.71 21.92
5.26 3.55 18.79
6.68 2.35 23.88
6.24 3.22 24.95
5.17 3.92 23.31
5.05 4.11 20.35
5.35 2.82 18.88
4.50 3.70 17.61
6.41 2.21 23.68
5.00 3.85 16.67
5.36 3.49 15.66
5.04 4.93 22.81
4.90 4.41 22.03
4.45 4.89 23.62
